vehicle_id,vehicle_type,driver_id,fuel_efficiency,maintenance_cost
V0145,Motorbike,D00145,13.31127217,164.0611136
V0146,Truck,D00146,5.154824591,444.0647178
V0147,Van,D00147,7.729171603,256.9200939
V0148,Van,D00148,5.024545864,144.5832966
V0149,Motorbike,D00149,9.157113091,439.4371468
V0150,Truck,D00150,12.2831551,238.0184627
V0151,Van,D00151,12.98771829,387.6405973
V0152,Truck,D00152,14.45189761,296.6148825
V0153,Motorbike,D00153,11.08504613,221.8422885
V0154,Motorbike,D00154,7.546268667,414.4443868
V0155,Truck,D00155,14.24147949,313.0114692
V0156,Motorbike,D00156,12.75315754,225.7529461
V0157,Van,D00157,10.74428483,99.31904165
V0158,Truck,D00158,11.95640216,452.9503912
V0159,Van,D00159,14.24316355,65.9613134
V0160,Truck,D00160,12.12394028,438.4343068
V0161,Motorbike,D00161,8.683745076,211.9826862
V0162,Motorbike,D00162,12.13028202,337.7024436
V0163,Truck,D00163,5.402781627,464.9898757
V0164,Van,D00164,8.864155618,118.267977
V0165,Motorbike,D00165,9.063230318,305.127714
V0166,Motorbike,D00166,6.668382344,393.9947881
V0167,Van,D00167,5.230854806,390.9127247
V0168,Motorbike,D00168,6.333812366,286.5343616
V0169,Van,D00169,11.54621496,331.132757
V0170,Van,D00170,13.02288816,390.8871474
V0171,Motorbike,D00171,14.88203493,428.462437
V0172,Van,D00172,8.463635031,392.8158936
V0173,Van,D00173,10.99379222,209.3022244
V0174,Van,D00174,14.37144967,498.5268805
V0175,Motorbike,D00175,6.670417813,245.5262122
V0176,Motorbike,D00176,12.17645586,61.00911624
V0177,Van,D00177,12.54978733,213.1776282
V0178,Van,D00178,5.889755359,107.5023296
V0179,Van,D00179,13.61249385,104.6491771
V0180,Van,D00180,13.13105047,176.690768
V0181,Truck,D00181,5.334030066,74.01897238
V0182,Motorbike,D00182,5.910844149,359.8304848
V0183,Van,D00183,5.491268939,83.29499789
V0184,Van,D00184,8.347435318,141.4802999
V0185,Truck,D00185,10.09288991,91.80487152
V0186,Truck,D00186,10.32347728,78.42547891
V0187,Motorbike,D00187,7.676667598,170.4882495
V0188,Van,D00188,14.11596887,307.3545354
V0189,Truck,D00189,8.682627899,484.1085004
V0190,Van,D00190,5.45550156,444.0004945
V0191,Van,D00191,8.002271115,444.1702665
V0192,Truck,D00192,10.31109423,129.2301662
V0193,Van,D00193,9.082218226,169.2082371
V0194,Van,D00194,7.738425191,84.37699256
V0195,Van,D00195,6.313232498,400.310753
V0196,Van,D00196,13.191645,81.41733567
V0197,Van,D00197,14.96145242,300.5130519
V0198,Motorbike,D00198,8.295421335,161.5440075
V0199,Van,D00199,8.816210442,159.5505353
V0200,Truck,D00200,11.18037525,495.8262749
V0201,Truck,D00201,12.18441475,390.5509131
V0202,Van,D00202,8.920295348,426.6227112
V0203,Motorbike,D00203,14.04929517,307.3922084
V0204,Truck,D00204,10.60003989,441.9564293
V0205,Motorbike,D00205,9.503900764,340.4707426
V0206,Truck,D00206,11.46672753,475.7781672
V0207,Van,D00207,14.52803848,176.6023637
V0208,Motorbike,D00208,12.94552294,317.8937956
V0209,Van,D00209,5.400131305,360.5591066
V0210,Van,D00210,8.323099107,226.8217873
V0211,Truck,D00211,9.70544685,445.8685921
V0212,Motorbike,D00212,8.145175722,490.9114234
V0213,Truck,D00213,12.00187561,272.1962711
V0214,Motorbike,D00214,13.2626915,225.7882947
V0215,Truck,D00215,12.31345095,262.3720679
V0216,Motorbike,D00216,14.89333287,433.7315356
V0217,Van,D00217,7.725476479,340.4607915
V0218,Motorbike,D00218,13.74989495,70.14756763
V0219,Van,D00219,12.66622665,293.9764597
V0220,Motorbike,D00220,8.621787576,57.78505523
V0221,Truck,D00221,12.34124544,400.340917
V0222,Truck,D00222,6.040759564,197.7405231
V0223,Van,D00223,12.89333482,262.403367
V0224,Truck,D00224,10.32330603,409.4051477
V0225,Truck,D00225,7.922901727,70.90196778
V0226,Motorbike,D00226,11.55777302,121.343691
V0227,Motorbike,D00227,11.41619999,229.0821694
V0228,Van,D00228,7.094862227,153.4663236
V0229,Motorbike,D00229,5.303974148,202.0556416
V0230,Van,D00230,9.336225869,499.1786321
V0231,Truck,D00231,10.69511869,421.4364969
V0232,Motorbike,D00232,13.76605278,447.7558167
V0233,Van,D00233,14.28216796,471.6745851
V0234,Motorbike,D00234,10.28805218,203.4211461
V0235,Truck,D00235,12.53803484,183.684631
V0236,Van,D00236,9.393032723,155.3281217
V0237,Truck,D00237,12.46082157,423.5526101
V0238,Truck,D00238,7.048015249,355.798338
V0239,Truck,D00239,8.710647348,156.2773921
V0240,Motorbike,D00240,11.34227999,219.6472231
V0241,Motorbike,D00241,5.181579656,278.0202938
V0242,Motorbike,D00242,12.2246131,287.6630258
V0243,Van,D00243,13.35535501,449.9274778
V0244,Van,D00244,8.991416611,221.2547598
V0245,Truck,D00245,9.479424172,458.8358137
V0246,Truck,D00246,13.51282212,248.6154021
V0247,Van,D00247,12.75654635,385.8677037
V0248,Motorbike,D00248,7.88149489,468.614444
V0249,Van,D00249,8.239761066,458.4090668
V0250,Truck,D00250,11.78878232,75.62879028
V0251,Truck,D00251,10.63198092,142.5669327
V0252,Truck,D00252,6.622295711,264.6074415
V0253,Van,D00253,8.099299092,244.1994305
V0254,Motorbike,D00254,13.99983277,338.4012492
V0255,Van,D00255,11.88174437,475.1190729
V0256,Motorbike,D00256,14.85974318,100.5821201
V0257,Van,D00257,12.6701253,253.3363993
V0258,Van,D00258,14.41974432,136.584967
V0259,Truck,D00259,7.161885739,452.3484193
V0260,Motorbike,D00260,12.71484875,484.0610836
V0261,Motorbike,D00261,5.202175201,265.4157569
V0262,Truck,D00262,11.70760022,96.80463398
V0263,Van,D00263,9.692822781,403.3826
V0264,Van,D00264,8.467600719,363.7136077
V0265,Van,D00265,13.62404352,209.601872
V0266,Motorbike,D00266,13.54267693,449.3333633
V0267,Van,D00267,5.223017049,489.1243504
V0268,Van,D00268,11.09505122,301.0342321
V0269,Truck,D00269,8.678322243,304.5775601
V0270,Truck,D00270,9.156610015,183.8810773
V0271,Truck,D00271,13.32040739,313.0277162
V0272,Truck,D00272,8.098397715,247.8390442
V0273,Motorbike,D00273,14.43048811,185.9859621
V0274,Motorbike,D00274,6.796338264,80.23333844
V0275,Truck,D00275,11.62722423,163.7185369
V0276,Motorbike,D00276,11.72105067,139.0345924
V0277,Truck,D00277,7.521951614,293.918893
V0278,Van,D00278,8.24750609,320.7515098
V0279,Truck,D00279,13.34798493,323.8572759
V0280,Van,D00280,12.61805255,224.6814505
V0281,Truck,D00281,8.290958803,239.5533802
V0282,Van,D00282,10.33956547,425.4072933
V0283,Van,D00283,5.616802963,264.3047661
V0284,Motorbike,D00284,7.087458824,494.4979995
V0285,Truck,D00285,9.858205589,247.8277535
V0286,Truck,D00286,5.859737353,342.3114251
V0287,Truck,D00287,13.43332355,72.66334955
V0288,Van,D00288,12.1800621,344.002966
V0289,Truck,D00289,14.43633671,433.1418775
V0290,Motorbike,D00290,11.93466906,474.1060273
V0291,Van,D00291,14.40401372,498.7942752
V0292,Van,D00292,10.54512556,176.9803905
V0293,Van,D00293,11.00218611,308.9165292
V0294,Truck,D00294,14.76971055,252.8230935
V0295,Truck,D00295,11.42129147,303.7178663
V0296,Van,D00296,5.307865689,120.8538307
V0297,Van,D00297,12.23802777,435.2673077
V0298,Truck,D00298,14.05468692,459.3060245
V0299,Truck,D00299,12.9558025,252.3477484
V0300,Motorbike,D00300,10.83833273,176.1934377
V0301,Truck,D00301,11.71303513,113.3750424
V0302,Motorbike,D00302,14.90191789,357.6941712
V0303,Motorbike,D00303,5.906620885,190.5043278
V0304,Truck,D00304,11.67244829,459.2923565
V0305,Truck,D00305,7.833976946,351.9556137
V0306,Truck,D00306,11.40090397,340.5583963
V0307,Van,D00307,11.07623576,301.7309522
V0308,Van,D00308,6.534568321,70.59935274
V0309,Motorbike,D00309,7.067466457,469.3650961
V0310,Motorbike,D00310,11.21629578,332.571872
V0311,Van,D00311,6.282299473,497.3278925
V0312,Truck,D00312,7.651808751,291.8103821
V0313,Truck,D00313,13.35245548,369.5499014
V0314,Motorbike,D00314,8.27091506,75.29430104
V0315,Truck,D00315,9.880601563,334.2812796
V0316,Truck,D00316,14.41140335,394.0923252
V0317,Motorbike,D00317,7.271490888,400.3314327
V0318,Van,D00318,8.896260174,396.5502435
V0319,Motorbike,D00319,11.06457776,151.8271823
V0320,Van,D00320,12.5533893,488.9293149
V0321,Truck,D00321,14.01653387,497.8319543
V0322,Motorbike,D00322,14.15472988,84.01814382
V0323,Truck,D00323,12.76640074,471.4008903
V0324,Van,D00324,7.283308366,180.2521374
V0325,Van,D00325,5.2480933,360.1778368
V0326,Truck,D00326,8.837739304,202.1499143
V0327,Van,D00327,6.41548851,485.4894455
V0328,Truck,D00328,12.10387647,95.67673624
V0329,Van,D00329,11.61130587,273.9860676
V0330,Van,D00330,5.439716416,242.6215064
V0331,Motorbike,D00331,13.36593779,196.7105535
V0332,Motorbike,D00332,7.487432663,340.4902959
V0333,Truck,D00333,9.322270755,108.9750845
V0334,Van,D00334,11.67933735,372.4980882
V0335,Van,D00335,9.294187869,491.2664557
V0336,Truck,D00336,9.412878028,412.0514215
V0337,Motorbike,D00337,5.656279953,437.0075388
V0338,Motorbike,D00338,9.014435493,211.8365344
V0339,Truck,D00339,12.64847893,196.1989729
V0340,Van,D00340,14.15176337,282.6717596
V0341,Truck,D00341,9.134971371,70.57697664
V0342,Van,D00342,9.235858269,475.4111605
V0343,Truck,D00343,12.02627106,114.7033279
V0344,Motorbike,D00344,14.42772001,456.3558676
V0345,Motorbike,D00345,7.670609402,87.6119999
V0346,Van,D00346,9.401442065,420.1812175
V0347,Van,D00347,12.95973244,118.3831366
V0348,Motorbike,D00348,11.09693569,67.15922634
V0349,Van,D00349,6.10586344,373.7702526
V0350,Truck,D00350,11.27732736,176.1193851
V0351,Van,D00351,6.867462846,371.5232688
V0352,Motorbike,D00352,10.10215934,299.7883627
V0353,Van,D00353,10.29103268,98.9633256
V0354,Van,D00354,13.76203362,469.458533
V0355,Motorbike,D00355,9.62494274,253.5413786
V0356,Motorbike,D00356,7.794424222,380.501275
V0357,Motorbike,D00357,7.309663482,275.4592574
V0358,Truck,D00358,13.74251877,321.9626637
V0359,Van,D00359,6.710108544,186.2481166
V0360,Motorbike,D00360,9.258685609,140.1621368
V0361,Motorbike,D00361,6.871731149,294.1565915
V0362,Van,D00362,12.7330404,248.0985378
V0363,Truck,D00363,9.7437264,225.550946
V0364,Motorbike,D00364,8.511436906,352.6552378
V0365,Motorbike,D00365,8.610996406,360.7279844
V0366,Truck,D00366,13.52214207,70.66402524
V0367,Van,D00367,10.53773954,202.4350224
V0368,Truck,D00368,12.17867851,235.2940476
V0369,Van,D00369,13.97038516,93.60147252
V0370,Truck,D00370,14.01741676,156.15539
V0371,Van,D00371,8.285090543,73.23880875
V0372,Van,D00372,14.52451263,498.3089444
V0373,Van,D00373,5.24875882,381.4507413
V0374,Van,D00374,8.76835561,89.35257043
V0375,Motorbike,D00375,13.95798858,59.11222091
V0376,Truck,D00376,7.746368798,373.6795101
V0377,Truck,D00377,7.730814503,247.6364746
V0378,Motorbike,D00378,8.026222851,404.0585191
V0379,Truck,D00379,11.12313385,465.564217
V0380,Motorbike,D00380,9.383327756,319.6851751
V0381,Motorbike,D00381,12.26734836,134.1987903
V0382,Van,D00382,13.94910643,401.9873162
V0383,Motorbike,D00383,11.74199375,480.1152844
V0384,Truck,D00384,7.044667202,311.1040792
V0385,Van,D00385,14.32681902,356.8988513
V0386,Van,D00386,7.644928733,201.8636128
V0387,Van,D00387,6.498942953,221.6874626
V0388,Motorbike,D00388,5.899672789,380.594524
V0389,Truck,D00389,10.63383741,467.4969943
V0390,Van,D00390,6.137624625,333.0447743
V0391,Van,D00391,6.387758841,405.4315588
V0392,Van,D00392,8.000304806,127.2357578
V0393,Truck,D00393,7.816530097,145.3815906
V0394,Van,D00394,11.0423951,289.4156091
V0395,Motorbike,D00395,13.16745279,129.4493865
V0396,Truck,D00396,12.61349656,335.7477816
V0397,Motorbike,D00397,7.624844547,181.2439334
V0398,Van,D00398,7.45310498,406.1896784
V0399,Motorbike,D00399,14.6579153,413.649656
V0400,Motorbike,D00400,5.082362416,258.7043551
V0401,Truck,D00401,13.79720533,131.3647858
V0402,Van,D00402,6.997285191,341.0487325
V0403,Motorbike,D00403,14.47284323,496.7541582
V0404,Van,D00404,8.423072848,330.1659041
V0405,Motorbike,D00405,9.403517739,66.09861082
V0406,Van,D00406,12.07120614,57.7822891
V0407,Truck,D00407,10.87669051,194.1628867
V0408,Van,D00408,8.179393297,138.1027131
V0409,Motorbike,D00409,10.53830916,415.8730432
V0410,Van,D00410,12.30706884,430.1625502
V0411,Motorbike,D00411,5.423349459,166.3784471
V0412,Motorbike,D00412,5.111993053,196.5401496
V0413,Van,D00413,9.580669391,156.3111355
V0414,Truck,D00414,6.318366178,458.7721463
V0415,Motorbike,D00415,11.64344291,276.1922006
V0416,Van,D00416,7.140524562,345.2616698
V0417,Motorbike,D00417,9.328511068,236.966939
V0418,Van,D00418,6.976709369,333.9563871
V0419,Van,D00419,10.48483586,223.6349195
V0420,Motorbike,D00420,6.160534594,202.855297
V0421,Van,D00421,5.231068528,335.5160329
V0422,Van,D00422,5.511316381,315.9779351
V0423,Van,D00423,14.54258442,182.0875794
V0424,Van,D00424,6.422862186,117.2068026
V0425,Van,D00425,12.08478253,215.8595122
V0426,Motorbike,D00426,5.679262042,236.8389376
V0427,Van,D00427,6.081603522,332.90795
V0428,Van,D00428,10.08876251,461.5379436
V0429,Van,D00429,9.648709302,66.28315889
V0430,Truck,D00430,14.51580309,159.6474556
V0431,Truck,D00431,14.44835453,137.172174
V0432,Motorbike,D00432,12.79608643,276.0324839
V0433,Motorbike,D00433,11.0210183,243.3653632
V0434,Van,D00434,9.549603174,378.0669307
V0435,Van,D00435,8.561785343,159.0871606
V0436,Truck,D00436,14.47087547,317.5242646
V0437,Van,D00437,11.02908811,447.7357686
V0438,Van,D00438,10.79072528,459.804983
V0439,Van,D00439,7.319011218,481.4530721
V0440,Van,D00440,5.466978179,397.9675184
V0441,Truck,D00441,14.4518858,457.6945578
V0442,Truck,D00442,8.137352588,155.5388924
V0443,Motorbike,D00443,9.425890233,138.911425
V0444,Van,D00444,6.146399436,52.9196377
V0445,Van,D00445,13.3692433,368.0799608
V0446,Truck,D00446,5.276318329,471.8602345
V0447,Truck,D00447,13.33990762,134.1209053
V0448,Motorbike,D00448,6.402850128,336.6246089
V0449,Van,D00449,13.86564113,385.9068916
V0450,Van,D00450,12.29772637,467.4264058
V0451,Truck,D00451,6.646702625,341.0871008
V0452,Motorbike,D00452,10.65817993,486.6321797
V0453,Truck,D00453,8.126563144,205.1029135
V0454,Truck,D00454,6.782330989,207.4678402
V0455,Van,D00455,13.59182199,294.3556295
V0456,Truck,D00456,9.035227665,222.5758465
V0457,Truck,D00457,8.985437144,50.64157773
V0458,Van,D00458,6.698866748,379.2974113
V0459,Van,D00459,8.830656761,388.2726687
V0460,Motorbike,D00460,13.71616846,386.1385721
V0461,Van,D00461,8.631287105,205.2593
V0462,Truck,D00462,14.51603562,285.030263
V0463,Truck,D00463,14.46308899,211.9880832
V0464,Motorbike,D00464,6.448986593,57.21638001
V0465,Van,D00465,6.773112535,303.1020236
V0466,Motorbike,D00466,13.6267407,105.6922997
V0467,Truck,D00467,8.927609189,86.01859584
V0468,Van,D00468,5.043739823,389.9745809
V0469,Truck,D00469,7.738718197,54.27779109
V0470,Van,D00470,10.97628993,481.5537996
V0471,Motorbike,D00471,12.99265966,281.8649139
V0472,Motorbike,D00472,6.333886171,492.3573938
V0473,Van,D00473,6.105413644,76.09890761
V0474,Van,D00474,14.22092654,312.588297
V0475,Motorbike,D00475,12.51148368,207.1971662
V0476,Van,D00476,10.89779601,429.5671218
V0477,Truck,D00477,12.6918679,212.5502309
V0478,Van,D00478,9.288543613,167.2194106
V0479,Truck,D00479,12.58455747,435.8989072
V0480,Van,D00480,8.718029913,218.5938912
V0481,Van,D00481,7.440945725,57.57499394
V0482,Van,D00482,12.29013421,225.6300954
V0483,Van,D00483,9.196722922,344.5350211
V0484,Truck,D00484,14.81377104,164.4617925
V0485,Van,D00485,8.494851823,244.3944166
V0486,Motorbike,D00486,14.21727421,75.52181223
V0487,Van,D00487,14.32962549,314.6417562
V0488,Van,D00488,7.418529471,390.3327157
V0489,Motorbike,D00489,12.98221182,235.9906526
V0490,Motorbike,D00490,9.330745051,239.1046848
V0491,Truck,D00491,14.17524727,89.72712436
V0492,Truck,D00492,9.501242726,140.873389
V0493,Motorbike,D00493,12.44303717,119.6038864
V0494,Motorbike,D00494,9.669674092,266.7594959
V0495,Motorbike,D00495,7.278007557,288.1649934
V0496,Motorbike,D00496,6.993501289,477.0230591
V0497,Van,D00497,9.254311943,82.95417692
V0498,Van,D00498,12.55494657,319.9405879
V0499,Truck,D00499,11.05071485,286.9243373
V0500,Truck,D00500,11.8862929,282.3048941
V0501,Van,D00501,7.823263507,442.9216793
V0502,Van,D00502,9.81435346,142.4923118
V0503,Van,D00503,5.44395265,68.34797345
V0504,Motorbike,D00504,13.17532416,352.5221784
V0505,Truck,D00505,14.89892162,205.3208589
V0506,Van,D00506,9.068790626,57.9154623
V0507,Truck,D00507,5.109636531,163.1183033
V0508,Van,D00508,6.697926396,189.1970484
V0509,Motorbike,D00509,11.52526878,327.5772696
V0510,Van,D00510,11.12079318,127.6636073
V0511,Motorbike,D00511,12.8786472,235.8744566
V0512,Truck,D00512,7.53884011,267.11395
V0513,Van,D00513,12.63631916,256.6568261
V0514,Van,D00514,11.87984022,488.273345
V0515,Van,D00515,8.228144977,70.47690701
V0516,Motorbike,D00516,10.45488148,477.9356839
V0517,Van,D00517,6.472738085,311.8717463
V0518,Motorbike,D00518,9.525645034,408.0774717
V0519,Truck,D00519,13.8119734,243.6766781
V0520,Motorbike,D00520,9.211913798,254.2270466
V0521,Truck,D00521,13.39566706,445.6969246
V0522,Motorbike,D00522,10.90253365,453.1705233
V0523,Van,D00523,6.918767131,157.4099966
V0524,Van,D00524,10.81106245,139.6588454
V0525,Van,D00525,10.05983329,273.3058282
V0526,Motorbike,D00526,8.986413352,455.1246622
V0527,Truck,D00527,6.196304395,195.059792
V0528,Van,D00528,9.167086638,343.4065769
V0529,Motorbike,D00529,5.727623762,368.6682595
V0530,Van,D00530,5.987690514,400.4035992
V0531,Truck,D00531,9.159165329,303.7660061
V0532,Van,D00532,8.05381482,231.1048302
V0533,Van,D00533,14.25544326,485.157195
V0534,Motorbike,D00534,8.757058054,325.098839
V0535,Motorbike,D00535,12.57858122,377.8543452
V0536,Van,D00536,10.30247526,205.2422806
V0537,Motorbike,D00537,12.04085669,351.4771315
V0538,Van,D00538,7.60115983,166.008948
V0539,Truck,D00539,14.41904973,160.2936129
V0540,Truck,D00540,10.30088497,371.6249908
V0541,Van,D00541,13.31324071,284.6276313
V0542,Truck,D00542,8.650456935,357.4744747
V0543,Motorbike,D00543,6.002113491,171.2473208
V0544,Motorbike,D00544,11.73711648,319.4255035
V0545,Truck,D00545,5.077596483,249.7701424
V0546,Van,D00546,9.752929766,318.6321291
V0547,Motorbike,D00547,6.928019027,180.8958795
V0548,Motorbike,D00548,11.27375504,371.9529336
V0549,Motorbike,D00549,14.79419873,412.6682148
V0550,Van,D00550,9.644029063,166.9624132
V0551,Motorbike,D00551,13.17498257,185.2792519
V0552,Van,D00552,10.07784187,347.5194214
V0553,Van,D00553,9.958400311,363.0133284
V0554,Truck,D00554,14.30423493,366.844858
V0555,Truck,D00555,13.89965869,357.2143271
V0556,Van,D00556,12.85800465,226.7634726
V0557,Truck,D00557,7.962557533,227.6841535
V0558,Truck,D00558,10.45008416,164.6679306
V0559,Motorbike,D00559,7.238972333,120.575165
V0560,Truck,D00560,9.43916698,361.6598207
V0561,Van,D00561,9.842130658,91.93495369
V0562,Van,D00562,13.3164004,472.0065291
V0563,Motorbike,D00563,13.96028365,422.0088367
V0564,Van,D00564,9.146200624,435.877583
V0565,Truck,D00565,5.177044451,458.0009666
V0566,Van,D00566,13.6177384,233.8722368
V0567,Motorbike,D00567,6.742786785,431.0153255
V0568,Motorbike,D00568,11.21881964,121.1275851
V0569,Van,D00569,5.249709004,59.73880757
V0570,Van,D00570,8.995064753,403.2011276
V0571,Motorbike,D00571,14.85960302,83.6584916
V0572,Truck,D00572,6.006936011,494.8361003
V0573,Van,D00573,9.23693152,353.6583933
V0574,Van,D00574,8.071499502,389.0523696
V0575,Truck,D00575,14.05088123,160.6117353
V0576,Van,D00576,13.69340108,353.2394273
V0577,Truck,D00577,7.376987603,69.44897176
V0578,Van,D00578,5.811877871,427.021574
