customer_id,region,customer_type,total_orders,avg_delivery_time,satisfaction_score
CUS00078,HN,B2B,131,2.010251142,2.760317844
CUS00079,CT,Retail,114,2.893496953,2.527632133
CUS00080,HCM,B2B,191,4.035302807,2.534667679
CUS00081,CT,Retail,38,5.595716227,2.560024453
CUS00082,HP,Retail,59,4.514483776,4.204343814
CUS00083,HP,Retail,28,3.671449191,2.778512352
CUS00084,DN,B2B,26,2.191647898,3.006022707
CUS00085,CT,B2B,84,4.389120909,3.547460167
CUS00086,HP,Retail,91,3.403008751,3.173125636
CUS00087,DN,Retail,65,4.149505789,4.541744089
CUS00088,DN,B2B,74,5.065766794,4.058635217
CUS00089,DN,B2B,61,5.21496142,3.333271511
CUS00090,HCM,Retail,185,5.457112958,3.294457371
CUS00091,HP,Retail,1,4.544186505,4.209234305
CUS00092,HP,Retail,160,5.62247158,2.926674922
CUS00093,HN,B2B,32,4.762512039,3.201364229
CUS00094,HCM,Retail,155,5.135656372,3.383584387
CUS00095,HP,Retail,141,4.74192889,3.636614232
CUS00096,HP,Retail,17,5.487455255,2.976329556
CUS00097,HN,Retail,156,2.891559528,2.893082499
CUS00098,CT,Retail,89,5.039548305,4.974900206
CUS00099,CT,Retail,52,2.468626172,4.782995062
CUS00100,HCM,Retail,114,2.36797612,3.809045566
CUS00101,DN,Retail,164,3.966490615,4.413875784
CUS00102,HN,B2B,47,3.200948624,4.185009439
CUS00103,HN,Retail,194,4.25343283,2.687785817
CUS00104,HP,Retail,160,4.710935671,3.794743601
CUS00105,HP,Retail,32,2.906251602,2.959798536
CUS00106,HN,B2B,198,4.799704232,3.960145786
CUS00107,DN,Retail,95,5.981836367,2.654478692
CUS00108,CT,Retail,123,5.039818481,2.907271883
CUS00109,HCM,B2B,183,2.695146007,4.454294626
CUS00110,CT,Retail,107,4.534781697,4.608118493
CUS00111,HCM,Retail,128,2.03793908,4.768651519
CUS00112,DN,Retail,80,3.878872641,4.741816368
CUS00113,HN,B2B,89,4.133225463,4.767572371
CUS00114,DN,Retail,40,5.889510212,2.736772473
CUS00115,HN,B2B,28,4.948821522,4.148721613
CUS00116,HP,Retail,81,4.823841008,4.252634382
CUS00117,HCM,Retail,31,4.129618436,3.170487588
CUS00118,HP,Retail,119,4.052704057,4.982326888
CUS00119,HN,Retail,87,5.968331125,3.214571352
CUS00120,HCM,Retail,31,2.085071985,3.937219772
CUS00121,HCM,Retail,154,3.212823623,4.680888556
CUS00122,HP,Retail,4,2.535135293,3.222965285
CUS00123,HCM,B2B,107,3.25988773,4.016263299
CUS00124,HN,B2B,107,3.854478871,4.300036685
CUS00125,HN,Retail,107,3.367729464,4.06677657
CUS00126,HP,Retail,186,5.850820458,3.514912279
CUS00127,DN,Retail,117,4.722351908,4.861887208
CUS00128,HN,Retail,79,4.912179719,4.030774899
CUS00129,HN,Retail,23,4.969168894,3.060900618
CUS00130,HCM,Retail,197,5.596907967,4.515323115
CUS00131,HCM,Retail,105,5.072075229,4.139695919
CUS00132,HN,Retail,188,2.064819237,2.773788004
CUS00133,HP,Retail,171,3.045582983,3.195355285
CUS00134,DN,B2B,154,5.956417543,2.895344961
CUS00135,HCM,Retail,195,4.608497946,2.681682597
CUS00136,HCM,Retail,116,2.272470926,3.075499381
CUS00137,DN,Retail,196,3.866552811,3.195345766
CUS00138,HCM,Retail,55,5.923337841,3.666312915
CUS00139,HP,Retail,175,5.971352567,4.923157503
CUS00140,HCM,B2B,187,3.729787279,4.858171959
CUS00141,HCM,Retail,144,5.572212036,4.384207972
CUS00142,HN,B2B,58,4.367969246,4.116278592
CUS00143,HP,Retail,107,4.037717395,4.868181673
CUS00144,HP,Retail,1,3.647769954,2.856118007
CUS00145,HN,Retail,127,5.568520159,3.325826321
CUS00146,CT,Retail,173,4.484506683,3.883317997
CUS00147,DN,B2B,94,3.335190575,4.534835422
CUS00148,HP,Retail,134,3.967729749,4.059466588
CUS00149,CT,Retail,52,3.776317162,4.52217297
CUS00150,DN,Retail,19,3.80461647,2.882687633
CUS00151,HP,Retail,102,3.246439216,2.981837118
CUS00152,HCM,Retail,171,4.531829137,4.351413069
CUS00153,HP,Retail,19,2.208949562,3.370788881
CUS00154,DN,Retail,39,5.544653211,3.59023598
CUS00155,CT,Retail,108,3.66158787,4.479161342
CUS00156,HCM,Retail,160,5.203449874,2.675090551
CUS00157,DN,Retail,65,4.917967257,2.919948736
CUS00158,DN,B2B,47,3.887406535,3.239527032
CUS00159,HP,Retail,141,2.794842262,4.708733674
CUS00160,HN,Retail,74,4.24884675,3.512202184
CUS00161,HN,Retail,164,5.792289062,3.130272123
CUS00162,HCM,Retail,198,2.743089851,4.196068421
CUS00163,DN,Retail,155,3.024049781,2.575725339
CUS00164,CT,Retail,72,5.972021825,4.437766911
CUS00165,HCM,B2B,152,5.570283899,4.244731777
CUS00166,HCM,Retail,148,4.1981994,2.637708205
CUS00167,HP,Retail,86,4.778964751,3.745072119
CUS00168,CT,Retail,9,3.772249326,3.510376039
CUS00169,DN,Retail,120,3.616370706,2.89534803
CUS00170,DN,Retail,167,3.772750164,2.88511191
CUS00171,DN,B2B,114,3.657666213,2.900495531
CUS00172,HCM,B2B,1,4.702220046,3.999155961
CUS00173,HP,Retail,11,3.321826503,2.927766628
CUS00174,HCM,Retail,105,2.683105625,2.64898985
CUS00175,HN,Retail,1,4.826270174,4.893942472
CUS00176,HN,Retail,81,2.125190108,2.597929387
CUS00177,DN,Retail,123,4.875013396,4.159740121
CUS00178,HP,Retail,172,3.052974782,4.840082309
CUS00179,DN,Retail,51,2.761011525,2.594838333
CUS00180,DN,Retail,17,3.515826683,4.914329705
CUS00181,HCM,Retail,103,2.469999844,3.755847769
CUS00182,DN,Retail,107,3.537958498,4.462713043
CUS00183,DN,Retail,120,2.409286889,4.062804805
CUS00184,HP,Retail,194,3.933954933,4.042117453
CUS00185,HP,Retail,112,2.704678998,4.471896311
CUS00186,HP,Retail,23,2.519986341,2.663600057
CUS00187,DN,Retail,169,4.316438519,3.480974698
CUS00188,HP,Retail,126,4.500980202,4.923920238
CUS00189,HP,B2B,59,2.022070163,2.636468201
CUS00190,CT,Retail,106,3.550709683,3.156989512
CUS00191,CT,Retail,94,2.31182436,4.180267358
CUS00192,HN,B2B,25,4.954577844,2.751089054
CUS00193,HCM,Retail,145,4.726091718,3.841683924
CUS00194,HCM,Retail,110,2.198916532,4.283426048
CUS00195,HP,Retail,19,5.765002361,4.39355095
CUS00196,HN,Retail,82,5.839841407,3.902973983
CUS00197,HN,Retail,46,3.338686517,3.751575773
CUS00198,CT,Retail,35,2.522450492,4.284721824
CUS00199,HN,Retail,23,2.457372968,2.862649039
CUS00200,DN,Retail,109,5.362882122,4.2012948
CUS00201,HP,Retail,44,3.836651556,4.79811332
CUS00202,DN,Retail,9,2.038033763,4.206882675
CUS00203,HCM,Retail,160,5.701408346,2.616259089
CUS00204,CT,Retail,90,4.370949304,3.764965455
CUS00205,DN,Retail,93,4.761587952,4.31568822
CUS00206,HP,B2B,187,5.29421575,2.608110539
CUS00207,DN,Retail,42,5.274314803,4.405495676
CUS00208,DN,Retail,190,2.30321949,3.204007016
CUS00209,HN,Retail,147,4.295969172,3.971932977
CUS00210,CT,Retail,93,4.784978511,4.915858848
CUS00211,HCM,Retail,117,2.342481751,4.987323712
CUS00212,HP,Retail,127,2.889603629,4.086019243
CUS00213,HP,Retail,35,3.583257834,3.728709314
CUS00214,HCM,Retail,136,5.546100253,2.944230763
CUS00215,HP,Retail,111,5.402533595,3.020834361
CUS00216,HN,Retail,43,5.128412006,3.573000031
CUS00217,DN,Retail,45,5.961106847,4.255715842
CUS00218,HN,Retail,134,2.970626606,4.423257791
CUS00219,HN,Retail,13,3.87125924,3.054770946
CUS00220,HN,Retail,11,3.786892049,3.838541937
CUS00221,HCM,Retail,102,4.715749653,3.979012661
CUS00222,CT,Retail,198,5.400613146,4.73269505
CUS00223,HCM,B2B,197,3.966731021,4.691053904
CUS00224,HCM,Retail,135,3.966127172,4.543463003
CUS00225,HN,Retail,55,4.433271251,3.791653725
CUS00226,CT,Retail,183,4.969898209,2.662707884
CUS00227,HCM,Retail,19,2.805203142,3.336183706
CUS00228,CT,Retail,107,5.847438202,4.054301203
CUS00229,HN,B2B,6,2.368213923,4.094017997
CUS00230,HCM,Retail,9,2.092400293,4.622682467
CUS00231,CT,B2B,148,3.435165628,3.448484915
CUS00232,HP,Retail,25,4.80573975,4.84155534
CUS00233,HCM,B2B,50,5.912299857,2.90808817
CUS00234,HCM,Retail,72,5.731041823,2.624664579
CUS00235,HCM,Retail,178,4.753949789,2.94172778
CUS00236,CT,B2B,166,3.746182878,3.655807877
CUS00237,DN,Retail,66,4.383207152,4.557271212
CUS00238,HCM,B2B,57,5.874629169,2.884590852
CUS00239,HP,Retail,22,3.062004265,3.87046615
CUS00240,HP,B2B,56,3.913122867,4.441478521
CUS00241,HN,Retail,36,4.771606763,2.58715404
CUS00242,DN,Retail,179,2.041195529,2.60380009
CUS00243,DN,Retail,68,3.525045669,3.726477969
CUS00244,CT,Retail,1,4.271648801,2.956615699
CUS00245,HN,Retail,48,5.603673117,3.626422489
CUS00246,CT,Retail,161,5.967990646,2.609838725
CUS00247,HN,Retail,152,4.225297625,4.942176626
CUS00248,DN,Retail,177,5.77832115,4.135472136
CUS00249,CT,Retail,197,2.397062061,4.216739997
CUS00250,HN,Retail,58,4.8050833,3.774321743
CUS00251,DN,Retail,48,3.602217458,4.562275452
CUS00252,DN,B2B,185,5.00389383,4.583519462
CUS00253,HCM,Retail,192,5.470894179,2.897726679
CUS00254,CT,Retail,99,2.214897139,4.420988413
CUS00255,HCM,B2B,181,5.741894175,3.91668708
CUS00256,DN,Retail,188,2.27262477,4.405962679
CUS00257,CT,Retail,126,5.01359349,4.796748878
CUS00258,CT,Retail,114,2.276279033,3.337740433
CUS00259,HP,Retail,90,5.446728667,3.927278853
CUS00260,HN,Retail,113,2.819925899,4.468707279
CUS00261,HP,Retail,171,3.736281325,4.96692148
CUS00262,HP,Retail,169,5.730483627,4.031440691
CUS00263,DN,Retail,107,5.168269315,4.303070031
CUS00264,HN,Retail,154,5.143100992,4.615862643
CUS00265,HP,Retail,187,5.053320269,4.378203286
CUS00266,HP,Retail,105,4.277740359,4.855830048
CUS00267,CT,B2B,177,5.805720181,3.074273262
CUS00268,DN,Retail,192,5.326542907,4.769489439
CUS00269,HP,Retail,133,3.761152389,3.017764366
CUS00270,HN,B2B,172,4.970223782,3.912819921
CUS00271,HCM,Retail,18,5.992429895,3.807241199
CUS00272,HCM,B2B,185,5.484001868,4.578329266
CUS00273,DN,B2B,112,2.004891966,3.496368058
CUS00274,HCM,Retail,40,4.95154473,2.857957153
CUS00275,CT,Retail,102,5.591526658,4.26698921
CUS00276,CT,Retail,113,3.311010422,4.016579998
CUS00277,HN,B2B,174,5.909967424,4.567670619
CUS00278,DN,Retail,58,3.605197463,4.396576899
CUS00279,DN,Retail,85,3.684707716,4.737063035
CUS00280,HCM,Retail,152,2.643488371,4.597793957
CUS00281,HP,Retail,156,2.386378327,4.215090768
CUS00282,HP,B2B,46,4.146382801,3.66426836
CUS00283,HP,B2B,196,4.41110208,2.550910817
CUS00284,HN,Retail,72,3.467586068,3.268984039
CUS00285,DN,Retail,182,4.426437621,4.318805846
CUS00286,HCM,B2B,33,3.57868341,2.648757568
CUS00287,HN,Retail,67,5.472739939,4.391486647
CUS00288,CT,Retail,113,5.815292578,3.790958874
CUS00289,CT,Retail,84,4.374162838,4.669464543
CUS00290,CT,B2B,163,5.369097932,4.149540149
CUS00291,DN,Retail,39,5.414965995,4.496104645
CUS00292,CT,Retail,175,4.855050761,2.928762053
CUS00293,HP,Retail,71,2.768007557,2.932285411
CUS00294,CT,Retail,5,2.619752329,3.027727805
CUS00295,HN,B2B,165,5.677936974,3.333279418
CUS00296,CT,Retail,1,3.060245234,4.761069034
CUS00297,HP,Retail,125,2.985323389,4.435768679
CUS00298,CT,Retail,184,2.664514952,3.411607519
CUS00299,HCM,B2B,135,4.109816191,4.796202464
CUS00300,HP,Retail,113,4.707989954,4.447314816
CUS00301,DN,Retail,192,4.704645879,4.140143581
CUS00302,CT,B2B,8,3.044210799,3.591416877
CUS00303,HN,B2B,108,2.379141656,4.12914976
CUS00304,CT,Retail,126,3.240837985,3.983072653
CUS00305,HN,Retail,126,4.013739132,4.454664799
CUS00306,HCM,Retail,192,4.449759982,3.063948829
CUS00307,DN,Retail,185,3.082401462,4.713944425
CUS00308,HP,Retail,28,2.732633646,3.979674927
CUS00309,HP,Retail,154,5.366302822,4.516896398
CUS00310,DN,Retail,34,5.431703727,3.368256925
CUS00311,HCM,B2B,96,3.119825135,3.479785611
CUS00312,HCM,Retail,22,4.240451382,4.843220362
CUS00313,CT,Retail,124,3.759305849,4.054887731
CUS00314,HCM,Retail,148,2.567868813,3.294343053
CUS00315,CT,Retail,142,5.762344913,2.705393953
CUS00316,HN,Retail,151,2.039131743,3.585882063
CUS00317,DN,B2B,67,2.750305481,4.622707056
CUS00318,HN,Retail,147,3.382259687,3.128579516
CUS00319,HN,Retail,78,5.425845021,4.65071759
CUS00320,HN,Retail,39,5.154614642,2.90411736
CUS00321,HN,Retail,165,4.319536258,2.824831203
CUS00322,HP,Retail,99,4.780083821,4.014230207
CUS00323,HCM,Retail,129,3.36364639,4.511594794
CUS00324,DN,B2B,19,5.762166185,4.450132309
CUS00325,DN,B2B,15,2.107149154,3.859021664
CUS00326,HN,Retail,1,2.403714706,4.096729332
CUS00327,DN,Retail,31,5.702215329,3.145498227
CUS00328,CT,Retail,180,5.780206505,3.878052277
CUS00329,DN,B2B,171,3.962284015,3.019253762
CUS00330,HN,Retail,174,4.305843142,4.820896263
CUS00331,DN,Retail,86,5.61015142,4.195141839
CUS00332,HCM,Retail,50,5.413737416,3.91161004
CUS00333,HN,Retail,20,5.447807519,3.117855719
CUS00334,HP,Retail,105,3.487142407,3.522445467
CUS00335,HCM,Retail,190,5.322191352,4.450541853
CUS00336,DN,Retail,43,2.277242405,3.098520857
CUS00337,HP,Retail,5,3.947857899,2.822142995
CUS00338,HCM,Retail,66,2.949627756,3.268384101
CUS00339,CT,Retail,140,2.14319114,4.486179369
CUS00340,HCM,Retail,128,4.468843433,4.707790209
CUS00341,HP,Retail,185,2.304719572,3.53590833
CUS00342,CT,Retail,188,2.480636946,4.453144257
CUS00343,DN,Retail,183,2.326980364,3.330560079
CUS00344,HN,Retail,71,5.90019021,3.771976449
CUS00345,DN,Retail,66,2.15695476,2.550461166
CUS00346,HN,Retail,73,3.07902582,4.279989688
CUS00347,HN,Retail,155,4.607993918,4.296777348
CUS00348,HP,Retail,156,5.293532853,2.750509316
CUS00349,CT,B2B,165,4.432814097,3.397012858
CUS00350,CT,Retail,79,5.906007025,3.708866691
CUS00351,HCM,B2B,19,3.350832835,4.435266117
CUS00352,DN,B2B,179,3.888021969,4.55901633
CUS00353,HP,Retail,13,5.285205744,4.297896779
CUS00354,DN,B2B,45,4.726789572,3.03961738
CUS00355,HCM,Retail,6,2.856268252,3.390851817
CUS00356,HCM,Retail,129,3.99467096,3.118257177
CUS00357,HP,Retail,106,5.903837267,4.092963273
CUS00358,HCM,Retail,121,5.452092703,4.118373947
CUS00359,HP,Retail,25,2.76721359,2.540422899
CUS00360,HCM,Retail,154,2.719143591,4.329278181
CUS00361,CT,Retail,141,5.313578069,3.073776214
CUS00362,HP,Retail,19,2.795578006,4.503439709
CUS00363,CT,Retail,138,3.811157573,4.58203644
CUS00364,CT,Retail,173,2.723034536,4.492440125
CUS00365,HP,B2B,71,2.058651448,3.520282547
CUS00366,DN,Retail,15,5.501614585,3.37075563
CUS00367,HN,Retail,107,5.116017769,3.587802712
CUS00368,HCM,Retail,159,3.882353717,3.81809167
CUS00369,HCM,Retail,126,2.638316,3.124799814
CUS00370,DN,Retail,136,5.225670833,4.829090984
CUS00371,HN,B2B,30,3.437469104,3.7601624
CUS00372,DN,Retail,98,4.647796645,2.682992514
CUS00373,HN,Retail,97,3.266777775,4.993005227
CUS00374,HP,B2B,1,3.72914842,3.710260101
CUS00375,HP,B2B,16,4.141887317,4.867472174
CUS00376,CT,Retail,114,5.048065091,3.475709294
CUS00377,CT,Retail,11,5.328274352,3.061902007
CUS00378,HP,Retail,155,3.774186987,4.342200275
CUS00379,CT,Retail,86,2.932160529,3.581235784
CUS00380,HP,Retail,168,2.614597314,4.703646544
CUS00381,DN,Retail,172,3.362991485,3.661227734
CUS00382,HCM,Retail,70,5.207133945,3.345851652
CUS00383,HP,Retail,120,3.095927301,4.916694899
CUS00384,HP,Retail,185,2.190079865,4.575936538
CUS00385,HP,B2B,176,4.257104348,3.013998268
CUS00386,CT,Retail,168,2.134454507,3.72213806
CUS00387,CT,Retail,39,5.539700563,2.783291481
CUS00388,CT,Retail,131,4.712241918,2.769361347
CUS00389,CT,B2B,183,3.027381428,4.633500172
CUS00390,DN,B2B,1,3.876366017,4.829564518
CUS00391,HP,Retail,23,4.956867319,4.347081675
CUS00392,DN,Retail,195,5.662735334,4.973091753
CUS00393,CT,B2B,190,5.497815047,2.613197102
CUS00394,DN,B2B,115,2.278126081,3.328773544
CUS00395,HP,Retail,162,2.324565204,2.830310776
CUS00396,HP,Retail,145,4.390894822,4.455046258
CUS00397,CT,Retail,48,3.985984275,4.726032562
CUS00398,HP,Retail,91,3.171748294,3.617796348
CUS00399,DN,B2B,53,5.904692357,4.573012051
CUS00400,HN,Retail,61,4.98506828,4.619054036
CUS00401,HP,Retail,103,4.749269794,2.849226153
CUS00402,DN,Retail,102,2.725318771,3.442464078
CUS00403,DN,Retail,139,3.135723551,2.970070578
CUS00404,DN,Retail,143,4.420074736,4.175127402
CUS00405,HP,Retail,90,5.182385857,3.468327737
CUS00406,HN,Retail,118,5.724241398,4.169437037
CUS00407,CT,B2B,139,4.790907519,4.689690695
CUS00408,CT,Retail,135,3.674548213,3.531880859
CUS00409,HP,Retail,47,4.764311483,4.929809397
CUS00410,HP,Retail,136,2.276701361,3.521535185
CUS00411,HCM,Retail,5,4.400331223,3.034336638
CUS00412,HN,Retail,87,5.578499475,3.823182079
CUS00413,DN,B2B,194,4.54778606,3.497596334
CUS00414,DN,Retail,91,2.030161088,2.81250377
CUS00415,CT,Retail,63,4.778076499,2.557979859
CUS00416,HP,Retail,21,4.905776524,4.360010431
CUS00417,HN,Retail,199,4.164916612,4.832148717
CUS00418,CT,Retail,119,5.264352917,3.601186298
CUS00419,HN,Retail,121,2.809165065,2.663517693
CUS00420,HP,Retail,102,3.63591545,4.351607773
CUS00421,DN,Retail,90,5.230344077,4.667679916
CUS00422,HCM,Retail,140,4.414759213,3.309132715
CUS00423,HN,Retail,112,5.977460992,3.055038182
CUS00424,DN,Retail,139,2.277057332,3.342641498
CUS00425,HN,Retail,182,2.977244515,4.770788128
CUS00426,HN,Retail,138,2.79650141,3.544902821
CUS00427,HN,Retail,119,5.905568899,4.135394825
CUS00428,HP,Retail,16,5.477050624,2.685887743
CUS00429,CT,Retail,143,2.532494177,3.203847271
CUS00430,HN,B2B,186,3.415215624,3.070064693
CUS00431,HP,Retail,119,2.210388818,2.656560603
CUS00432,HCM,Retail,84,4.530269275,2.801531028
CUS00433,CT,Retail,132,3.324778847,3.541510853
CUS00434,HP,B2B,22,3.030257068,3.895012123
CUS00435,HCM,Retail,163,4.092468793,3.27979711
CUS00436,CT,Retail,142,5.182206296,3.548754187
CUS00437,HP,B2B,94,3.615670435,4.398731457
CUS00438,HCM,Retail,31,5.029795565,3.117967074
CUS00439,HP,Retail,70,3.784529033,2.585305962
CUS00440,HCM,Retail,91,2.858088188,3.142472044
CUS00441,HN,Retail,128,3.784823212,4.803503292
CUS00442,HN,Retail,11,4.152218043,2.545063083
CUS00443,CT,Retail,36,3.846317496,2.822349124
CUS00444,HCM,B2B,80,3.097297148,2.662701526
CUS00445,HN,Retail,24,2.740408759,3.442317387
CUS00446,CT,B2B,168,5.787808792,4.119369686
CUS00447,DN,Retail,113,3.189945004,4.775860408
CUS00448,HN,Retail,42,4.821478449,4.485166709
CUS00449,HN,B2B,21,3.362777563,3.126764783
CUS00450,HP,Retail,96,5.878572101,4.087099857
CUS00451,DN,Retail,51,5.953115065,4.159611559
CUS00452,HCM,Retail,81,5.300385387,2.72628118
CUS00453,CT,Retail,55,4.325894127,3.567835614
CUS00454,DN,B2B,124,4.168269292,3.278124843
CUS00455,HCM,Retail,132,3.315845614,2.892784833
CUS00456,HN,Retail,62,2.488114242,2.646679127
CUS00457,CT,Retail,87,2.316244543,2.567839433
CUS00458,CT,Retail,153,3.861790029,4.646821623
CUS00459,DN,Retail,198,5.915154876,3.326606132
CUS00460,HP,Retail,142,2.987511646,3.732685452
CUS00461,HCM,Retail,41,3.643809653,3.229080768
CUS00462,DN,Retail,185,4.565678052,2.914639658
CUS00463,HP,Retail,166,3.404255292,3.15325084
CUS00464,HP,Retail,190,2.014519,2.924965239
CUS00465,HP,Retail,41,3.584868539,4.394693854
CUS00466,CT,Retail,45,5.21856575,4.768784282
CUS00467,HCM,B2B,126,5.775839848,3.586254099
CUS00468,HCM,Retail,96,3.100363184,4.557310812
CUS00469,DN,Retail,144,5.686582569,3.564467275
CUS00470,HN,Retail,19,5.468594214,3.6169545
CUS00471,DN,Retail,37,3.626895371,3.712789183
CUS00472,HCM,Retail,85,2.018711265,4.550590804
CUS00473,CT,Retail,189,5.379503712,4.840811771
CUS00474,DN,Retail,26,3.147090123,4.361107779
CUS00475,HN,Retail,94,5.023546296,4.721108262
CUS00476,DN,B2B,104,4.286058211,4.106814177
CUS00477,HP,Retail,192,2.886658087,4.598143424
CUS00478,HN,B2B,125,4.592846764,3.892059189
CUS00479,HP,Retail,141,5.05936093,4.431764525
CUS00480,CT,B2B,91,3.897780631,4.263128809
CUS00481,HCM,Retail,87,4.99164111,4.373155095
CUS00482,DN,Retail,162,3.619887352,3.085941636
CUS00483,DN,Retail,123,5.921006288,2.884377519
CUS00484,HP,B2B,98,2.959234022,4.132573808
CUS00485,HP,Retail,23,5.11141885,3.707218123
CUS00486,HCM,Retail,108,4.998408228,4.411650155
CUS00487,DN,Retail,148,4.11777161,2.866260828
CUS00488,HCM,Retail,54,3.401353044,4.869231546
CUS00489,HP,Retail,186,3.783039712,4.260092795
CUS00490,HP,Retail,59,4.517949712,2.557472625
CUS00491,HN,Retail,148,4.121398534,3.94133463
CUS00492,HP,Retail,39,5.046160641,3.281549947
CUS00493,HP,B2B,78,3.442727219,3.18669024
CUS00494,HCM,Retail,91,2.42898014,4.755411688
CUS00495,HN,Retail,160,4.022381008,4.589871532
CUS00496,HN,Retail,169,3.036047023,2.52388401
CUS00497,DN,Retail,69,4.466552325,2.954178526
CUS00498,CT,Retail,68,4.081291662,4.298829595
CUS00499,DN,Retail,87,5.114994266,4.620476572
CUS00500,DN,B2B,21,4.300908889,4.294009439
CUS00501,DN,Retail,152,3.723038165,3.813260198
CUS00502,HN,Retail,144,2.479423995,4.96144292
CUS00503,HCM,B2B,32,2.48056547,4.493199086
CUS00504,HP,Retail,154,4.561404049,3.669820791
CUS00505,HN,Retail,3,5.523013196,3.958691215
CUS00506,HP,Retail,82,3.659150581,2.612047526
CUS00507,HP,Retail,121,4.123156938,4.91183835
CUS00508,CT,Retail,116,4.364850094,3.406846874
CUS00509,DN,Retail,135,3.909190527,4.15379757
CUS00510,CT,Retail,88,2.238254461,4.167375564
CUS00511,DN,Retail,144,4.356557266,2.642355082
CUS00512,HN,Retail,53,2.548409789,3.164632186
